,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
342,HIGH SCHOOL OF TELECOMMUNICATION,2,12,23,42,385,13
343,JHS 227 EDWARD B SHALLOW ,1,14,9,69,461,10
344,NEW UTRECHT HIGH SCHOOL,1,10,9,58,874,10
345,URBAN ASSEMBLY SCH-CRIMINAL JUSTICE,2,21,26,29,229,20
346,ABRAHAM LINCOLN HIGH SCHOOL,3,20,8,53,525,13
347,BROOKLYN STUDIO SECONDARY SCHOOL,0,19,8,58,266,13
348,EDWARD R MURROW HIGH SCHOOL,2,14,3,70,930,12
349,HIGH SCHOOL OF SPORTS MANAGEMENT,0,27,0,53,91,20
350,INTERNATIONAL HIGH SCH-LAFAYETTE,0,12,12,35,125,22
351,JOHN DEWEY HIGH SCHOOL,6,13,22,52,589,13
352,KINGSBOROUGH EARLY COLLEGE SCHOOL,3,14,11,41,174,13
353,LEADERS HIGH SCHOOL,0,74,9,39,179,59
354,LIBERATION DIPLOMA PLUS,0,36,0,45,82,35
355,LIFE ACAD HS FOR FILM AND MUSIC,0,63,11,63,120,38
356,RACHEL CARSON HS FOR COASTAL STUDIES,0,29,6,60,162,25
357,WILLIAM E GRADY CAREER AND TECH,8,22,11,64,142,25
358,BROOKLYN COLLEGE ACADEMY,3,3,23,48,122,3
359,JAMES MADISON HIGH SCHOOL,0,12,5,62,786,12
360,LEON M GOLDSTEIN HIGH SCH-SCIENCES,0,40,4,67,356,29
361,MIDWOOD HIGH SCHOOL,1,10,8,55,845,9
362,ORIGINS HIGH SCHOOL,9,53,41,16,235,43
363,PROFESSIONAL PATHWAYS HIGH SCHOOL,0,18,12,24,109,9
364,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,0,24,24,59,128,16
365,BROOKLYN COLLEGIATE,0,33,5,33,116,25
366,BROOKLYN DEMOCRACY ACADEMY,0,50,7,64,92,35
367,EAGLE ACADEMY FOR YOUNG MEN II,5,38,12,29,240,38
368,FREDERICK DOUGLASS ACADEMY VII,13,93,27,33,115,54
369,GREGORY JOCKO JACKSON-SPORTS-ARTS,2,24,12,34,202,21
370,METROPOLITAN DIPLOMA PLUS HIGH SCH,23,38,46,15,103,41
371,PS 184 NEWPORT,0,11,3,38,193,9
372,TEACHERS PREPARATORY HIGH SCHOOL,0,18,5,32,130,20
373,ACADEMY-FINANCE & ENTERPRISE,4,36,11,57,181,28
374,AVIATION CAREER AND TECH ED HS,1,6,3,68,571,5
375,BARD HIGH SCH EARLY COLLEGE QUEENS,0,12,21,71,96,13
376,CIVIC LEADERSHIP ACADEMY,0,16,6,29,164,15
377,GROVER CLEVELAND HIGH SCHOOL,0,36,5,60,608,26
378,HIGH SCHOOL FOR ARTS & BUSINESS ,0,17,6,74,307,10
379,HS-APPLIED COMMUNICATIONS,0,59,5,68,138,42
380,INTERNATIONAL HS FOR HEALTH SCIENCES,5,33,14,43,79,33
381,INTNTL HIGH SCHOOL AT LA GUARDIA,0,3,7,53,117,6
382,IS 5 WALTER CROWLEY INTERMEDIATE,0,24,16,47,537,29
383,MASPETH HIGH SCHOOL,3,23,25,20,320,18
384,MIDDLE COLLEGE HIGH SCH AT LAGUARDIA,0,0,4,63,92,0
385,NEWTOWN HIGH SCHOOL,1,7,8,56,628,6
386,PAN AMERICAN INTERNATIONAL HS,0,36,19,19,203,24
387,QUEENS TECHNICAL HIGH SCHOOL,2,14,10,58,441,11
388,ROBERT F WAGNER JR SECONDARY SCHOOL,0,43,14,59,212,25
389,VOYAGES PREPARATORY,0,13,13,38,57,14
390,EAST-WEST SCHOOL OF INTERNATION STUD,2,51,24,36,291,42
391,FLUSHING HIGH SCHOOL,1,17,11,60,508,13
392,FLUSHING INTRNL HIGH SCHOOL,0,14,7,55,120,18
393,JOHN BOWNE HIGH SCHOOL,2,11,8,57,954,9
394,NORTH QUEENS COMMUNITY HIGH SCHOOL,0,0,8,54,51,4
395,QUEENS ACADEMY HIGH SCHOOL,0,5,5,45,99,5
396,QUEENS HS FOR LANGUAGE STUDIES,0,14,36,25,152,9
397,QUEENS SCHOOL OF INQUIRY (THE),0,33,12,58,243,23
398,ROBERT F KENNEDY COMMUNITY HS,0,27,0,76,233,14
399,TOWNSEND HARRIS HIGH SCHOOL,0,11,2,77,264,8
400,VERITAS ACADEMY,5,37,39,32,170,28
401,WORLD JOURNALISM PREPARATORY,0,25,14,50,206,22
402,BAYSIDE HIGH SCHOOL ,0,12,5,69,1128,7
403,BENJAMIN N CARDOZO HIGH SCHOOL,0,26,4,72,838,17
404,FRANCIS LEWIS HIGH SCHOOL,0,12,9,59,1009,8
405,MARTIN VAN BUREN HIGH SCHOOL,1,5,3,59,380,5
406,QUEENS HIGH SCHOOL OF TEACHING,2,57,7,66,415,36
407,ACADEMY OF MEDICAL TECHNOLOGY,0,6,9,38,217,4
408,AUGUST MARTIN HIGH SCHOOL,0,62,15,46,175,42
409,CHANNEL VIEW SCHOOL FOR RESEARCH,0,2,11,47,235,1
410,EPIC HIGH SCHOOL - NORTH,13,38,25,38,78,32
411,FREDERICK DOUGLASS ACAD VI HS,0,25,15,60,93,19
412,"HS FOR CON, TRADES, ENGINEER AND ARC",5,48,10,53,323,40
413,JOHN ADAMS HIGH SCHOOL,3,18,30,31,887,16
414,QUEENS HS FOR INFOR AND RESEARCH,0,52,9,48,114,37
415,RICHMOND HILL HIGH SCHOOL,3,22,13,47,700,18
416,ROBERT H GODDARD HS-COMM/TECH,0,14,3,64,206,11
417,ROCKAWAY COLLEGIATE HIGH SCHOOL,0,38,21,29,162,28
418,ROCKAWAY PARK HS-ENVIRONMENT SUSTAIN,0,11,0,47,99,11
419,SCHOLARS' ACADEMY,1,23,19,39,305,16
420,VOYAGES PREP-SOUTH QUEENS,0,50,0,61,141,31
421,FOREST HILLS HIGH SCHOOL ,1,22,8,64,1086,17
422,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,0,50,13,16,184,34
423,HILLCREST HIGH SCHOOL,0,10,6,56,849,7
